country,total_earnings,total_players,year,iso,code,pbicap,internet,desempleo,elect_acc,movil,poblacion,pea,net_mig,life_exp,CPI,gdp_gr,inflacion
Denmark,7114.06,18,2002-01-01,DK,208,33228.6935448819,64.25,4.27,100.0,83.24975361,5375931.0,3573414.0,11518.0,76.8951219512195,,0.145880726640385,2.34764746386243
Austria,5093.89,4,2002-01-01,AT,040,26527.5930910347,36.56,4.85,100.0,83.37673809,8081957.0,5491630.0,37429.0,78.6780487804878,,1.15267633135774,1.14559566666318
Poland,5033.33,2,2002-01-01,PL,616,5207.129304207,21.15,19.89,99.959846496582,35.96216995,38230364.0,26536166.0,-21339.0,74.4975609756098,,2.08313591593866,1.85022033112874
New Zealand,5000.0,1,2002-01-01,NZ,554,16874.1874918196,59.08075328,5.28,100.0,62.02223379,3948500.0,2599988.0,47693.0,78.8463414634146,,2.9106070739942,0.297941894962307
Italy,4500.0,1,2002-01-01,IT,380,22376.2978989329,28.04,9.21,100.0,94.9085968,57059007.0,38184023.0,222527.0,80.2292682926829,,0.104759513559856,3.27434188043023
Finland,4244.8,6,2002-01-01,FI,246,26997.7529897788,62.43,10.42,100.0,86.85104553,5200598.0,3478324.0,5250.0,78.119512195122,,1.46092862242904,0.944264297601578
Czech Republic,3642.0,8,2002-01-01,CZ,203,8060.86870292424,23.93,7.28,100.0,84.09878914,10196916.0,7187565.0,26188.0,75.2219512195122,,1.76597431964622,2.72434939525772
Brazil,3536.6,21,2002-01-01,BR,076,2824.71541300038,9.149425086,10.64,96.652996,19.32713015,180476685.0,118297028.0,6018.0,70.41,,1.76024277856577,9.79811223755975
Kazakhstan,3500.0,10,2002-01-01,KZ,398,1658.03114240952,1.674770995,9.33,99.81,6.695367868,14858948.0,9893590.0,-13939.0,65.95,,9.79547024420448,5.80322409676619
Argentina,3400.0,2,2002-01-01,AR,032,2579.48876933284,10.88212438,19.59,96.0960006713867,17.33333812,37885028.0,23640531.0,-22668.0,74.408,,-11.8459503938227,30.555204053903
Australia,3250.0,6,2002-01-01,AU,036,20301.8431713256,,6.38,100.0,65.05494704,19495210.0,13076482.0,107886.0,79.9365853658537,,2.80352716038983,2.84030689376995
Singapore,2279.55,8,2002-01-01,SG,702,22159.8373710639,47.0,5.65,100.0,79.3192099,4175950.0,3110106.0,22897.0,78.5512195121951,,2.97922962062731,-0.896915632384648
Hong Kong,1750.0,1,2002-01-01,HK,0,24665.8362318216,43.08238303,7.28,100.0,93.38396667,6744100.0,4862412.0,21654.0,81.4521951219512,,1.20750705916038,-3.40188377176429
Ukraine,1750.0,1,2002-01-01,UA,804,911.906860351563,1.873885116,10.14,99.2588272094727,7.696397252,48202470.0,33347745.0,-36318.0,68.2756097560976,,6.34476222704498,5.25374127819229
Viet Nam,1589.83,1,2002-01-01,VN,0,434.810292146332,1.854999236,2.12,89.1,2.359044585,80642308.0,51630354.0,-159577.0,72.801,,5.23373885039491,4.69892816201967
Chile,1500.0,8,2002-01-01,CL,152,4477.18785325931,22.1,10.17,97.2666854858398,39.78841312,15693790.0,10333879.0,7828.0,77.445,,2.08611070911063,3.34066036755067
Portugal,1000.0,1,2002-01-01,PT,620,12936.6928204482,19.37,4.5,100.0,83.11831542,10419631.0,6995060.0,45651.0,77.0658536585366,,0.220542488198603,4.18978168737745
South Africa,1000.0,1,2002-01-01,ZA,710,2708.42333318343,6.710322437,19.781,76.7,28.7485622,47661514.0,29803907.0,50323.0,55.666,,2.76087798631386,12.537957905723
Lithuania,600.0,1,2002-01-01,LT,440,4141.59270180102,17.69,13.01,99.4277038574219,46.80495102,3443067.0,2293621.0,-33905.0,71.7609756097561,,7.6118272562162,0.318656607612212
